Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
4,48,-56,-8,0,0,-2,3,0,-51,10,7,2,-4,-2,1,1
-13,-54,-99,-17,-11,-12,-10,-8,-15,-18,1,-11,-13,-9,-1,-4,1
5,14,16,5,-1,8,2,2,1,7,29,4,5,2,0,-1,1
0,-36,-22,2,7,11,3,5,-8,-30,-61,-16,-9,-11,-4,-5,1
-7,15,23,5,0,-1,-4,-2,-3,10,-23,-12,-7,-3,-2,-2,1
1,9,82,15,2,0,-2,-2,8,-31,-43,3,4,6,1,3,1
4,5,28,15,9,5,3,1,-2,-6,50,-10,0,-5,1,2,1
-7,47,40,-14,-8,7,-5,-10,2,61,33,-2,-5,-5,-3,0,1
-14,-63,-45,-21,-8,-7,-8,-9,7,-23,-12,5,-1,7,4,3,1
4,31,30,9,7,1,0,3,-14,-83,-13,-6,3,0,-4,-5,1
0,65,-23,8,3,5,-1,-4,6,53,-52,-15,-9,-3,-2,1,1
-6,-19,45,-15,-7,-6,0,-4,7,9,-19,4,-4,3,0,4,1
6,-7,52,14,7,3,5,5,-7,-23,24,6,7,9,-3,-5,1
-1,-29,82,4,-1,-2,3,2,0,-18,5,6,3,2,1,-1,1
-2,-31,-80,-17,-6,-1,-4,-2,3,79,2,8,-1,-5,-1,2,1
6,-5,-54,-2,-4,-10,1,0,4,55,-54,1,8,16,6,0,1
2,-45,105,16,10,-2,-1,2,1,51,63,-11,-11,-9,-6,-7,1
-11,-74,-128,-18,-6,-3,-5,-3,8,-28,30,6,1,-7,1,3,1
-6,85,57,-8,-2,0,-3,-3,6,-24,7,11,2,0,3,3,1
4,-6,4,4,4,7,3,1,0,-5,75,6,5,-2,-2,-2,1
11,37,-74,-1,-3,-1,1,3,-20,-74,68,-6,-15,-12,-3,-7,1
13,106,-51,11,14,11,-9,1,-2,-19,-16,0,0,-3,-1,0,1
-4,9,1,-2,-2,-2,-1,-5,-1,-43,-62,-5,-1,-5,1,4,1
7,14,3,4,-2,0,1,3,-1,-29,-5,5,-3,0,-1,2,1
-3,-29,-28,-10,-3,-1,-6,-5,3,39,-49,-8,-4,-1,2,-1,1
-2,-27,67,11,3,5,4,1,-2,-3,-102,-7,4,0,-2,2,1
1,-8,34,-3,-3,1,2,-2,2,-6,-38,0,3,-3,0,-1,1
3,4,-2,-8,-7,-3,2,-1,1,44,4,10,11,10,0,1,1
-2,-39,-30,-1,-1,1,0,1,-6,-21,-2,-4,0,-2,-6,-5,1
-6,-8,11,-5,-4,-7,-2,-3,3,18,33,-5,-5,-7,-1,0,1
0,-16,48,4,-2,-8,0,1,11,54,16,17,8,6,2,2,1
-33,-26,42,-33,-32,-22,-17,-19,7,44,43,1,-4,2,3,0,1
2,-5,37,0,3,5,1,-2,6,-27,-58,14,7,9,1,3,1
5,11,-21,3,1,-5,2,3,-6,-15,-33,-10,-8,-11,-9,-4,1
6,55,-64,3,-5,-10,-1,-1,-4,-19,-37,-11,-2,-2,-1,0,1
3,-67,-61,7,8,5,2,1,1,21,50,-1,-1,5,4,-1,1
-5,-38,-83,-3,0,-6,-3,-1,-2,12,-56,-12,-3,-3,-4,-3,1
-4,4,55,4,3,-2,-1,1,-4,-39,3,1,3,-12,-4,-3,1
1,15,16,3,-5,-1,1,3,-5,-5,0,-2,-2,-8,-4,-4,1
0,-25,33,2,-4,-5,-2,0,6,51,29,0,2,6,2,3,1
-9,12,44,-4,-1,-2,-3,-8,-6,-24,23,-4,-8,-1,-1,-5,1
-1,-16,-80,0,4,-1,2,-1,2,-5,32,4,-1,-3,-1,0,1
2,-17,-24,-8,-3,2,1,2,5,26,116,5,-10,-9,1,2,1
-2,77,87,-1,8,-5,-5,-3,-7,-65,-2,-4,1,9,1,-4,1
3,10,39,3,1,4,-1,1,0,11,-6,5,0,-6,-1,-2,1
11,56,83,13,2,6,4,3,-7,-16,-119,-21,-6,-8,-6,-3,1
-6,35,98,-10,-12,-8,-3,-2,-1,-25,25,1,1,8,3,-4,1
0,-5,-63,1,-1,4,2,4,-5,-4,70,3,3,2,-2,-4,1
-2,-34,-21,1,-4,-5,-4,-2,-7,49,-56,-15,-7,-13,-7,-5,1
-7,-49,-5,-12,-8,-4,-2,-2,3,22,39,7,1,7,4,1,1
6,-37,18,13,10,7,3,2,6,9,44,16,11,11,-1,4,1
-30,-89,-31,-43,-23,-12,-11,-13,-1,50,8,-1,-3,-16,-2,-2,1
11,25,121,17,8,14,3,3,0,-10,-73,-4,5,7,3,1,1
14,5,9,21,10,4,6,6,4,43,30,5,-2,-1,-1,0,1
-31,-75,-89,-43,-20,-17,-9,-10,-1,-12,29,3,5,-6,-3,-2,1
15,54,24,12,3,8,4,6,-7,-37,-63,-11,-5,-2,-2,-3,1
20,84,-59,14,10,1,5,3,-17,-56,-71,-13,-5,-3,-2,-4,1
2,-14,61,1,0,-2,1,-2,-1,-31,3,0,-1,-8,-5,-2,1
3,-2,-28,0,0,-2,-3,-1,-17,-52,-112,-16,-7,-3,-4,-7,1
0,5,72,-8,0,3,-3,-2,-1,-9,3,9,2,-3,3,2,1
-4,29,66,-2,-5,-4,0,-1,-5,-66,64,-4,1,0,0,-5,1
5,25,-88,2,-1,4,1,1,-5,-44,-1,-3,3,0,-4,-3,1
1,20,-28,6,4,3,3,2,-1,-44,56,2,-3,2,0,0,1
-1,65,-15,4,1,-1,-1,-2,-1,3,31,-8,-5,3,0,-3,1
5,9,46,8,2,-3,0,1,3,20,-101,8,5,-5,-4,4,1
-11,-17,-108,-25,-5,-11,-5,-10,3,46,-14,9,2,2,-1,0,1
-5,-26,-7,4,-3,-3,-3,-5,6,46,52,-1,0,-4,1,1,1
7,-15,46,13,3,8,2,3,1,-36,75,-1,-6,-7,-1,1,1
-6,12,-106,-28,-10,-5,-7,-8,-2,-5,114,2,-2,3,0,-2,1
4,37,55,11,5,4,3,3,-8,-49,-18,-22,-5,2,3,-2,1
3,9,24,2,-1,-1,1,1,3,-28,-18,-1,-5,-2,0,-1,1
1,31,-34,0,-3,-13,-8,-5,6,15,5,15,9,15,7,8,1
0,-63,-39,8,-1,-8,-4,-2,-1,37,-38,-5,1,-1,1,0,1
-8,-109,-25,2,0,2,3,0,-7,-29,-112,-5,-2,-5,-3,-6,1
7,31,40,0,6,4,2,2,4,-3,35,3,-2,1,1,0,1
-2,-42,-110,-7,-5,1,-1,-1,6,-12,-20,8,-2,-5,0,1,1
-12,-28,26,-14,-4,-1,-2,-5,1,32,-1,0,1,4,0,1,1
8,77,-12,8,0,-2,1,1,-15,-54,34,-11,-8,-2,-5,-7,1
11,47,-48,4,1,-4,-1,0,2,43,52,-1,-9,-12,-2,-1,1
5,-19,116,14,13,10,4,3,-4,78,-19,-3,-6,-4,-3,-1,1
-7,-60,-37,-3,-1,6,-1,-4,4,-23,58,9,0,-2,0,-1,1
0,33,106,3,0,-3,-2,3,-3,-28,-64,-8,-8,-4,-4,-6,1
0,-2,-16,1,2,-2,2,3,-9,-25,16,4,1,-2,-4,-6,1
2,-56,-22,2,2,13,6,6,7,60,-17,1,8,1,-1,1,1
-3,21,19,1,-6,3,0,0,17,9,0,14,7,4,2,6,1
-29,-70,-126,-35,-10,-3,-7,-10,2,16,97,4,1,3,0,0,1
-1,-41,11,-10,-3,-4,0,2,0,63,41,2,1,2,3,1,1
4,-19,-43,5,2,-3,-2,0,5,15,19,-4,1,0,-5,-1,1
-9,27,36,-4,-4,-1,-4,-3,-5,-45,9,-13,-2,-5,-3,-1,1
7,20,36,7,0,5,3,2,-6,17,80,1,-5,-6,-1,-5,1
-2,-6,-36,-9,-4,4,-2,-2,4,-2,-47,0,8,7,0,2,1
