Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-1,4,-9,-1,-1,1,-1,-2,1,-3,13,-1,-4,0,-1,-1,0
2,23,-12,-4,0,-3,-1,-2,-7,-41,-3,-2,1,-3,-1,-2,0
-3,19,-6,1,-5,-2,-1,-1,0,24,35,5,8,2,1,1,0
-6,-43,-76,-11,-2,0,0,-3,1,25,52,3,-4,0,0,2,0
-1,-5,-19,-4,2,-2,-1,0,-1,5,34,-1,-7,-4,-3,-2,0
-1,-15,-16,1,-3,-2,-2,-1,-1,2,-19,-6,0,-1,-2,-2,0
0,4,-15,1,0,3,0,0,-3,0,4,-1,-5,-3,-1,1,0
0,4,32,1,-1,-1,0,-1,0,4,-25,6,5,0,1,2,0
-1,2,26,1,2,-3,0,-3,-1,0,-19,-4,-3,-1,-3,-2,0
0,12,16,-2,-4,-4,-1,-1,2,-12,1,0,-4,-2,-1,0,0
-1,0,4,-1,3,-2,-1,-2,-1,-2,-10,-5,-4,4,0,0,0
0,0,12,6,-3,2,1,1,-2,20,15,-3,2,0,-1,-3,0
1,7,42,2,-5,-2,-2,1,-1,-17,-50,-5,-1,-1,-2,-2,0
4,-10,-15,3,1,1,0,2,-5,0,-17,-9,-7,-6,-3,-5,0
0,3,7,-1,3,1,0,-2,-3,6,-2,4,0,1,-2,-1,0
-2,-3,-7,-5,0,1,-2,-2,3,8,22,1,-5,-2,-1,0,0
-2,-12,-9,1,-2,0,-2,-1,-1,2,-26,-3,0,0,0,0,0
-2,-2,66,3,-2,0,0,-4,-1,-6,-41,-2,-1,-1,0,-2,0
-3,-8,-8,-3,0,-2,-1,-2,4,12,11,2,-2,2,2,2,0
0,9,-3,-2,-1,3,-2,-2,-1,1,2,0,-11,-5,0,-1,0
-2,-8,4,0,11,5,-1,-2,-1,3,0,-1,-4,-3,0,-1,0
0,-7,-37,-2,4,0,-1,1,-2,-1,15,-1,-2,-4,1,-1,0
1,2,-3,-3,-8,-4,-2,1,-1,-6,22,3,6,-1,-2,1,0
-7,-10,-31,0,4,0,-1,-3,0,3,18,2,0,-1,-1,-1,0
-3,-11,-4,-2,-7,-6,-4,-4,4,7,13,-4,1,0,-1,-1,0
1,2,4,0,0,2,2,1,1,5,19,1,2,-1,0,1,0
-1,-10,-44,-3,-3,1,-1,-2,1,-6,0,-1,-3,-2,0,-1,0
-2,-20,-13,-5,-5,-5,-3,-1,-4,0,8,-4,-3,0,-1,-4,0
0,15,20,5,4,2,2,-1,-3,-9,2,2,2,0,1,1,0
-1,-3,-1,-2,-1,-1,-2,-1,-1,-1,-9,-1,0,-1,-2,-1,0
-2,0,-4,-4,-5,-2,-2,0,1,-2,-11,-2,-1,-3,-3,-2,0
0,7,21,0,-2,-2,-2,0,0,4,26,1,0,2,0,-3,0
-4,-11,-58,-4,-11,-13,-5,-4,1,-2,7,5,12,13,2,1,0
6,27,-2,3,-4,-2,0,1,-9,-32,-24,-4,-1,-1,-1,-2,0
-3,2,29,5,-1,3,2,1,-2,-2,-1,-5,-6,-6,-1,-4,0
-2,-10,-15,-5,-3,-2,-3,-1,2,2,31,10,9,2,0,1,0
1,9,11,-5,-1,0,-1,-1,-6,-22,-45,-5,-4,-2,-2,0,0
1,6,-25,-3,-1,0,-2,-1,1,-2,3,-2,-4,-1,-1,0,0
0,-1,16,5,3,3,1,3,1,-1,16,-1,0,-3,-2,-2,0
-1,3,-6,-6,-6,-5,-1,-3,0,0,-16,0,0,3,0,0,0
0,3,2,2,3,0,-1,0,-1,12,6,0,-5,-1,0,0,0
-3,-18,-15,-1,4,-3,-2,-1,1,-1,2,-2,-1,1,0,0,0
1,17,11,5,-1,-3,-3,-2,-1,-2,-7,-5,-12,-7,-4,-4,0
-5,-20,13,-4,3,4,-2,-1,-1,5,-12,-2,-7,-9,-5,-2,0
-1,0,-27,-4,-4,3,3,0,-5,-4,11,1,11,0,1,-1,0
2,-8,-6,0,0,0,3,0,-3,11,16,-4,-2,0,1,-3,0
-3,0,13,-3,-7,-3,-2,-1,1,2,-8,-4,-3,-1,0,0,0
0,6,5,4,2,1,0,3,2,8,-1,-3,-1,-1,0,0,0
-2,-21,-36,-1,-1,-2,-1,0,-3,-9,4,-7,-3,0,-3,-2,0
-3,7,8,1,0,-2,-2,-2,-1,-7,-5,1,-2,5,2,0,0
0,13,13,-2,3,-2,-2,-1,2,-2,4,10,1,-4,-2,-1,0
0,3,9,-4,-3,-1,0,-1,-2,-7,-40,-5,-4,-1,-1,-3,0
-1,7,69,0,-2,-2,-1,-1,0,2,0,0,1,-1,-3,0,0
-2,0,-35,-5,-2,1,1,0,-5,-9,0,3,-7,-5,-3,-1,0
-2,4,1,-2,14,3,0,-1,0,-7,1,1,-7,0,0,1,0
-1,3,6,-1,-2,-2,-1,1,1,-10,5,0,1,4,2,1,0
2,16,-27,-5,-4,-5,0,-1,0,3,5,1,-1,-2,-2,-1,0
2,-1,-9,-3,-1,0,0,-2,-3,-2,-9,-6,6,-3,-1,-1,0
-1,-1,23,2,-2,2,-1,0,-2,-5,-17,-1,-1,-1,-2,-2,0
